DevID,DataYear,DataMonth,DataDay,DataHour,DataMinute,DataValue
1,2013,11,1,0,0,0.1518
1,2013,11,1,1,0,0.1378
1,2013,11,1,2,0,0.1340
1,2013,11,1,3,0,0.1722
1,2013,11,1,4,0,0.1596
1,2013,11,1,5,0,0.1546
1,2013,11,1,6,0,0.1614
1,2013,11,1,7,0,0.1755
1,2013,11,1,8,0,0.1874
1,2013,11,1,9,0,0.0000
1,2013,11,1,10,0,0.0000
1,2013,11,1,11,0,0.1394
1,2013,11,1,12,0,0.0303
1,2013,11,1,13,0,0.1673
1,2013,11,1,14,0,0.1273
1,2013,11,1,15,0,0.1273
1,2013,11,1,16,0,0.0166
1,2013,11,1,17,0,0.0166
1,2013,11,1,18,0,0.0242
1,2013,11,1,19,0,0.0325
1,2013,11,1,20,0,0.1393
1,2013,11,1,21,0,0.1572
1,2013,11,1,22,0,0.1558
1,2013,11,1,23,0,0.1591
1,2013,11,2,0,0,0.1582
1,2013,11,2,1,0,0.1508
1,2013,11,2,2,0,0.1567
1,2013,11,2,3,0,0.1564
1,2013,11,2,4,0,0.1578
1,2013,11,2,5,0,0.1537
1,2013,11,2,6,0,0.1501
1,2013,11,2,7,0,0.1530
1,2013,11,2,8,0,0.1569
1,2013,11,2,9,0,0.1418
1,2013,11,2,10,0,0.1547
1,2013,11,2,11,0,0.1621
1,2013,11,2,12,0,0.1417
1,2013,11,2,13,0,0.1288
1,2013,11,2,14,0,0.1288
1,2013,11,2,15,0,0.1543
1,2013,11,2,16,0,0.1499
1,2013,11,2,17,0,0.1659
1,2013,11,2,18,0,0.1592
1,2013,11,2,19,0,0.1589
1,2013,11,2,20,0,0.1462
1,2013,11,2,21,0,0.1462
1,2013,11,2,22,0,0.1718
1,2013,11,2,23,0,0.1573
1,2013,11,3,0,0,0.1565
1,2013,11,3,1,0,0.1702
1,2013,11,3,2,0,0.1559
1,2013,11,3,3,0,0.1417
1,2013,11,3,4,0,0.1582
1,2013,11,3,5,0,0.1549
1,2013,11,3,6,0,0.1549
1,2013,11,3,7,0,0.1670
1,2013,11,3,8,0,0.1491
1,2013,11,3,9,0,0.1459
1,2013,11,3,10,0,0.0244
1,2013,11,3,11,0,0.0161
1,2013,11,3,12,0,0.0150
1,2013,11,3,13,0,0.0150
1,2013,11,3,14,0,0.0139
1,2013,11,3,15,0,0.0196
1,2013,11,3,16,0,0.0274
1,2013,11,3,17,0,0.0567
1,2013,11,3,18,0,0.1300
1,2013,11,3,19,0,0.1864
1,2013,11,3,20,0,0.1751
1,2013,11,3,21,0,0.1618
1,2013,11,3,22,0,0.1314
1,2013,11,3,23,0,0.1314
1,2013,11,4,0,0,0.1314
1,2013,11,4,1,0,0.1429
1,2013,11,4,2,0,0.1318
1,2013,11,4,3,0,0.1298
1,2013,11,4,4,0,0.1485
1,2013,11,4,5,0,0.1920
1,2013,11,4,6,0,0.1592
1,2013,11,4,7,0,0.1909
1,2013,11,4,8,0,0.1258
1,2013,11,4,9,0,0.0222
1,2013,11,4,10,0,0.1813
1,2013,11,4,11,0,0.1200
1,2013,11,4,12,0,0.1200
1,2013,11,4,13,0,0.2003
1,2013,11,4,14,0,0.1994
1,2013,11,4,15,0,0.1508
1,2013,11,4,16,0,0.1140
1,2013,11,4,17,0,0.2066
1,2013,11,4,18,0,0.2041
